name,real_name,ring_names,Stable&Team,height,weight,birth_date,birth_place,billed_from,trainer,finisher
Penta,????,Dark Dragon | El Hijo del Cuchillo | Penta | Penta El 0M | Penta El zero Miedo | Penta El Zero | Penta El Zero M| Penta Oscuro | Pentagón Dark | Pentagón Jr. | Zaius,,180cm,87kg,1985-02-26,"Ecatepec de Morelos, State of Mexico, Mexico",,Gran Apache | Skayde,Mexican Destroyer | Penta Driver
Pete Dunne,Peter Thomas England,Butch | Pete Dunne | Peter England | Rayo Americano | Streetfighter Ken | Tiger Kid,Los Americanos,178cm,93kg,1993-11-09,"Solihull, West Midlands, England","Birmingham, England",Steven Edwards,Bitter End
Rey Mysterio,Óscar Gutiérrez Rubio,Colibri | El Nino | Rey Misterio II | Rey Misterio Jr. | Rey Mysterio Jr. | Super Nino | Rey Mysterio,Latino World Order,168cm,79kg,1974-12-11,"Chula Vista, California, U.S.","San Diego, California",Rey Misterio,619 | Frog Splash
Roman Reigns,Leati Joseph Anoa'i,Joe Anoa'i | Leakee | Roman Leakee | Roman Reigns,Bloodline,190cm,120kg,1985-05-25,"Florida, U.S.","Pensacola, Florida",Steve Keirn,Spear | Guillotine Choke
Rusev,Miroslav Petrov Barnyashev,Alexander Rusev | Miro | Miroslav | Miroslav Makarov | Rusev,,183cm,122kg,1984-12-25,"Plovdiv, Bulgaria","Bulgaria | Moscow, Russia",FCWGangrel | Rikishi,Accolade | Machka Kick
Seth Rollins,Colby Daniel Lopez,Gixx | Seth Rollins | Seth "Freakin" Rollins | Taj the Destroyer | Tyler Black,,185cm,93kg,1986-05-28,"Davenport, Iowa, U.S.","Davenport, Iowa",Danny Daniels,Pedigree | Stomp
AJ Lee,April Jeanette Brooks,AJ | April Lee | Miss April | AJ Lee,,158cm,52kg,1987-03-19,"Union City, New Jersey, U.S.","Union City, New Jersey",Jay Lethal,Black Widow | Shining Wizard
Asuka,Kanako Urai,Asuka | Kana | Kana-hime | Princess Kana | Ramen Woman | Skull Reaper Kana | Tomoe Gozen,,160cm,62kg,1981-09-26,"Osaka, Japan","Osaka, Japan",Yuki Ishikawa,Asuka Lock | Running Hip Attack | Green Mist
Bayley,Pamela Rose Martinez,Davina Rose | Bayley,,170cm,64kg,1989-06-15,"San Jose, California, U.S.","San Jose, California",Sara Del Rey | WWE Performance Center | Jason Styles,Rose Plant | Bayley-to-Belly Suplex
Becky Lynch,Rebecca Quin,Becky Lynch | La Luchadora | Rebecca Knox | Komeera,,168cm,61kg,1987-01-30,"Dublin, Ireland","Dublin, Ireland",Finn Bálor | Paul Tracey | NWA UK Hammerlock,Dis-arm-her | Manhandle Slam | Bexploder Suplex
Brie Bella,Brianna Monique Danielson,Brianna Bella | Brie Bella | Brie Danielson,Bella Twins,168cm,,1983-11-21,"Scottsdale, Arizona","Scottsdale, Arizona",Tom Prichard | Natalya Neidhart | WWE Performance Center,Bella Buster | Rack Attack
Ivy Nile,Emily Andzulis,Ivy Nile,,157cm,57kg,1992-02-26,"Knoxville, Tennessee, U.S.","Knoxville, Tennessee, U.S.",Glenn Jacobs | Tom Prichard | WWE Performance Center,Turtle Lock | Dragon Sleeper
Iyo Sky,Masami Odate,Biba Kasai | Hitokiri | Io Shirai | Iotica | Iyo Sky | Midnight Angel | Oyuki | T-2 Mask | Tenkū Shōjo Lusca,,156cm,54kg,1990-05-08,"Kamakura, Kanagawa, Japan","Tokyo, Japan",Takashi Sasaki | Tomohiko Hashimoto,Over the Moonsault
Liv Morgan,Gionna Jene Daddio,Gionna Daddio | Liv Morgan | Marley,Judgement Day,160cm,52kg,1994-06-08,"Morristown, New Jersey, U.S.","Elmwood Park, New Jersey",WWE Performance Center | Sara Amato,Oblivion
Lyra Valkyria,Aoife Marie Cusack,Aoife Valkyrie | Lady Valkyrie | Lyra Valkyria | Valkyrie | Valktrie Cain,,167cm,59kg,1996-10-23,"Dublin, Ireland","Dublin, Ireland",Fight Factory Pro Wrestling | Katey Harvey,Night Wing
Maxxine Dupri,Sydney Jeannine Zmrzel,Sydney Zmrzel | Sofia Cromwell | Maxxine Dupri,The Vision,173cm,61kg,1997-05-19,"Pheonix, Arizona, U.S.","Sacramento, California",WWE Performance Center | Shawn Spears | Tyler Breeze | Tyson Kidd | Natalya,Ankle Lock
